TimePoint,Description,NES,pvalue,Genes
15,Base excision repair,1.1247823280351406,0.3238341968911917,POL31/APN1/UNG1/DPB3/DPB2/RFC3/POL2/POL30/RAD27/POL3/CDC9
21,Base excision repair,1.1403121211484495,0.29763779527559053,UNG1/DPB3/RFC5/POL31/CDC9/APN1/POL2/POL3/POL30/DPB4/RFC4/DPB2
27,Base excision repair,-0.6515554814291405,0.9058240396530359,APN1/POL31/DPB2/RAD27/POL2/RFC3
3,Base excision repair,1.662321234430739,0.010040448171765278,DPB4/CDC9/RFC4/POL3/DPB2/RFC5/RAD27/DPB3/POL30/RFC3/APN1/POL31/RFC2
33,Base excision repair,-1.0463584777010924,0.4151351351351351,RFC4/DPB2/POL31/RAD27/POL2/RFC3
39,Base excision repair,-1.141586068462263,0.2889125799573561,POL31/CDC9/DPB2/RAD27/DPB4/RFC3/RFC4/POL2
45,Base excision repair,-1.2616106002161604,0.1647183846971307,POL30/POL31/UNG1/RFC5/POL3/RFC3/DPB2/RAD27/CDC9/RFC4/DPB4/POL2
51,Base excision repair,-1.5199907434377944,0.034518828451882845,RFC3/POL30/UNG1/RFC5/DPB2/POL3/RAD27/RFC4/CDC9/POL2/DPB4
57,Base excision repair,-1.5779689780368271,0.014030521104903436,RFC4/RFC5/DPB2/POL30/UNG1/POL3/RAD27/POL2/DPB4/CDC9
63,Base excision repair,-1.3402740799707284,0.11925465838509317,RFC1/DPB3/RFC5/POL2/DPB2/CDC9/POL3/POL30/UNG1/RAD27
69,Base excision repair,-1.1797710122841565,0.2653673163418291,RFC3/RFC5/POL2/APN1/RFC2/CDC9/DPB2/POL3/POL30/UNG1/RAD27/DPB3
75,Base excision repair,-1.344598332876337,0.07866379310344827,RFC3/DPB2/RFC5/CDC9/POL3/POL2/POL30/UNG1/RAD27/DPB3
81,Base excision repair,-1.5747260689920692,0.02096027681747678,DPB4/RFC3/DPB2/POL3/POL30/UNG1/RFC4/CDC9/RFC5/DPB3/POL2/RAD27
87,Base excision repair,-1.6101773531406705,0.016617355639119646,RFC3/POL3/DPB3/UNG1/DPB2/DPB4/POL30/RFC4/CDC9/RFC5/POL2/RAD27
9,Base excision repair,1.4026212138274614,0.07181571815718157,POL31/APN1/DPB2/DPB3/RFC3/CDC9/RAD27/POL30/POL3/RFC4
93,Base excision repair,-1.2905692096512313,0.13800424628450106,POL3/UNG1/DPB4/POL31/RFC3/RFC4/DPB2/POL30/CDC9/RFC5/POL2/RAD27
