TimePoint,Description,NES,pvalue,Genes
3,Autophagy - yeast,-1.014729187787123,0.4370748299319728,SLT2/ARP3/VPS16/TPK2/PPH22/KOG1/VPS33/LCB1/ATG18/PEP5/ATG21/ATG8
9,Autophagy - yeast,-1.1538950900089553,0.24704336399474375,MSN4/ATG8/PPH22/KCS1/VPS33/VPS45/ARP3/ATG2/PHO85/RIM15/ARP2/TPK3
15,Autophagy - yeast,-0.8572785225361748,0.7047451669595782,GCN2/RAS1/ATG21/VPS30/VPS45/KCS1/VAM7/KOG1/RIM15/PHO85/TPK3
21,Autophagy - yeast,1.3275301244034063,0.08229166666666667,UME6/TPK3/PHO85/ATG13/CCZ1/SNF1/KOG1/VPS30/VPS33/TAP42/ARG82/LCB1/ATG27/PRB1/ARC18/KCS1/SUI2/ARC35/PPH22/PPH21/TOR2
27,Autophagy - yeast,1.8734588735103979,1.4019920402889223e-4,TPK3/PHO85/SNF1/RIM15/ATG13/VPS30/UME6/CCZ1/KOG1/TAP42/LCB1/VPS45/VPS33/PEP5/ARC35/ARG82/KCS1/TOR2/ARC18/PPH22/SUI2
33,Autophagy - yeast,1.239763097416967,0.15262321144674085,TPK3/PHO85/KOG1/CCZ1/VPS30/ATG13/VPS45/PPH22/ARC35/VAM3/RAS1/PEP5/ATG27/RAS2/PPH21
39,Autophagy - yeast,-1.452737211718661,0.022267705085410424,ARG82/PRB1/PPH21/PEP5/ATG27/KCS1/ARC35/MSN4/PPH22/VAM7/VAM3/RAS1/VPS45/ATG13/SNF1/UME6/KOG1/TPK2/VPS30/RIM15/PHO85/TPK3
45,Autophagy - yeast,-1.5043363358715207,0.0033754018323288977,SUI2/ATG27/VPS45/ARC18/ATG21/KOG1/VTI1/CCZ1/TAP42/KCS1/ATG7/ATG18/SEC18/RAS2/ARG82/RAS1/PRB1/MSN4/ARP2/PPH21/ARP3/VPS30/SNF1/TOR2/ATG13/RIM15/PHO85/TPK3
51,Autophagy - yeast,-1.2584191979644446,0.09857723577235772,TPK2/VAM7/VPS45/ATG27/VAM6/LST8/TAP42/MSN4/VAM3/PRB1/ARG82/ARC40/ATG8/UME6/VTI1/PPH21/RAS2/ATG21/SNF1/ATG7/ATG18/VPS30/RAS1/ARP3/ARP2/TOR2/SEC18/ATG13/PHO85/RIM15/TPK3
57,Autophagy - yeast,-1.5181546072759866,0.0034603523917542773,PPH22/SCH9/ARP3/UME6/ARP2/CCZ1/KOG1/GCN2/TAP42/SUI2/PPH21/VPS45/MSN4/PRB1/ARG82/ATG13/KCS1/TOR2/SNF1/VAM7/VPS30/PHO85/RIM15/TPK3
63,Autophagy - yeast,-1.273419346167969,0.1281094527363184,TAP42/SUI2/KOG1/PPH22/VAM3/VPS45/MSN4/ATG13/KCS1/TOR2/UME6/SNF1/PHO85/VPS30/TPK3
69,Autophagy - yeast,1.2683179377350524,0.10583941605839416,RIM15/TOR2/UME6/VAM7/VAM3/ARG82/PPH22/PPH21/CCZ1/KOG1/PRB1/GCN2/ARC35/SCH9/ARP2/ARP3
