TimePoint,Description,NES,pvalue,Genes
3,"Alanine, aspartate and glutamate metabolism",-1.611581110665088,0.009523922569119214,GDH2/GLN1/GLT1/ASN1/CPA2/UGA2/GDH3/CPA1/UGA1/ARG1/GDH1/URA2/ASN2/GFA1/ARG4/ALT1/ASP1
9,"Alanine, aspartate and glutamate metabolism",-1.0158853896133502,0.4479638009049774,AAT2/ADE13/CPA1/ASN2/ARG1/NIT3/GDH1/GDH2/ALT1/ASP1/CPA2/URA2/ARG4/GLN1/GFA1/UGA2/ASN1/GLT1/GDH3
15,"Alanine, aspartate and glutamate metabolism",-0.7117114817226854,0.8600723763570567,CPA2/GDH1/GDH3/ALT1/GLT1/CPA1/UGA1/GDH2/GFA1/ASN1/NIT3
21,"Alanine, aspartate and glutamate metabolism",0.9012437011192818,0.6026143790849673,GFA1/UGA1/GLN1/GAD1/ALT1/CPA2/AAT2/GDH2/ASN2/ADE4/ARG1/URA2/CPA1/UGA2
27,"Alanine, aspartate and glutamate metabolism",0.6960492244285249,0.8907103825136612,GFA1/NIT3/GLN1/UGA1/ARG1/ARG4/CPA1/GDH2/ALT1/AAT2/ASN2/CPA2/ADE4/UGA2/URA2
33,"Alanine, aspartate and glutamate metabolism",0.8692714101533986,0.6860706860706861,GFA1/UGA1/CPA1/ASP1/NIT3/UGA2/ARG1/GDH2/GLN1/ADE12/ASN2/ADE4/GLT1/URA2/ALT1/AAT2/ARG4/ADE13/ASN1/CPA2/PUT2
39,"Alanine, aspartate and glutamate metabolism",0.9989991931000965,0.4948453608247423,GFA1/CPA1/UGA1/PUT2/NIT3/UGA2/GDH2/ASP1/GLN1/GLT1/ADE4/ADE13/GDH1/ASN2/URA2/ASN1/AAT2/CPA2/ADE12/ARG4/ALT1/GDH3/ARG1
45,"Alanine, aspartate and glutamate metabolism",1.0731194562310677,0.409652076318743,NIT3/CPA1/ASP1/GDH3/GFA1/GAD1/UGA1/GDH2/GLN1/CPA2/ASN2/ADE12/AAT2/URA2/ADE4/ARG4
51,"Alanine, aspartate and glutamate metabolism",0.9174258919880947,0.5906666666666667,NIT3/CPA1/PUT2/ASP1/GDH3/GAD1/GLT1/ADE12/GDH2/ASN1/UGA1/ALT1/GLN1/ADE4
57,"Alanine, aspartate and glutamate metabolism",-0.9212539212653446,0.551440329218107,PUT2/GDH2/GLT1/UGA2/AAT2/UGA1/ASN1/ARG4/GFA1/NIT3
63,"Alanine, aspartate and glutamate metabolism",-1.3852868043966426,0.06626506024096386,PUT2/AAT2/UGA2/ARG4/UGA1/GDH3/GLT1/ASN1/GFA1/GAD1/NIT3
69,"Alanine, aspartate and glutamate metabolism",-0.8660673662723863,0.6729957805907173,CPA2/CPA1/ADE12/GDH3/URA2/ARG4/ASN2/ADE13/ASP1/PUT2/GFA1/GLT1/ASN1/GAD1
75,"Alanine, aspartate and glutamate metabolism",-0.684156674923495,0.9116379310344828,ARG1/ADE12/GDH2/ASN2/URA2/ARG4/UGA1/ASP1/GFA1/ADE13/GLT1/GAD1
81,"Alanine, aspartate and glutamate metabolism",-0.8496103550101045,0.7021696252465484,ASN2/CPA2/CPA1/AAT2/ADE13/UGA2/ARG4/UGA1/GDH3/GLT1/GFA1/GAD1/NIT3
87,"Alanine, aspartate and glutamate metabolism",-0.5947054349918067,0.9556737588652482,UGA1/GDH3/GDH2/ADE4/CPA1/AAT2/CPA2/URA2/ADE12/ASN2/ADE13/GLT1/NIT3
93,"Alanine, aspartate and glutamate metabolism",0.7411619378095555,0.8527918781725888,ASN1/PUT2/GAD1/ASP1/GLN1/CPA1/GDH1/ARG1/UGA2/UGA1/URA2/ADE4/AAT2/GFA1/ARG4/GDH2/NIT3/CPA2/ADE12/GLT1/GDH3/ALT1/ASN2/ADE13
3,Arginine biosynthesis,-1.6230987599287507,0.012847999895238882,"GDH2/GLN1/CPA2/GDH3/CPA1/DUR1,2/ARG1/ARG7/GDH1/URA2/ARG5,6/ARG4/ALT1"
9,Arginine biosynthesis,-1.0591095835444395,0.3948896631823461,"AAT2/CPA1/ARG1/DUR1,2/GDH1/GDH2/ALT1/CPA2/URA2/ARG4/GLN1/CAR1/GDH3/ARG7"
15,Arginine biosynthesis,0.882139558324285,0.647887323943662,"CAR1/AAT2/GLN1/ARG1/URA2/ARG4/CPA2/GDH1/GDH3/DUR1,2/ARG7/ALT1/CPA1/GDH2/ARG5,6"
21,Arginine biosynthesis,0.9889772813712163,0.4849726775956284,"DUR1,2/GLN1/ALT1/CPA2/AAT2/GDH2/ARG5,6/ARG1/URA2/CPA1"
27,Arginine biosynthesis,0.7962283385554606,0.7603583426651735,"DUR1,2/GLN1/ARG1/ARG4/CPA1/GDH2/ALT1/AAT2/CPA2/ARG5,6/URA2/ARG7"
33,Arginine biosynthesis,0.8413464032591365,0.6945652173913044,"DUR1,2/CPA1/ARG1/GDH2/GLN1/ARG5,6/URA2/ARG7/ALT1/AAT2/ARG4"
39,Arginine biosynthesis,0.7737122668783586,0.7857911733046287,"DUR1,2/CPA1/GDH2/GLN1/ARG5,6/GDH1/URA2/AAT2/CPA2/ARG4/ALT1/GDH3/ARG1"
45,Arginine biosynthesis,1.0090715106669832,0.48933649289099523,"DUR1,2/CPA1/GDH3/CAR1/GDH2/ARG5,6/GLN1/ARG7/CPA2/AAT2/URA2/ARG4/ALT1"
51,Arginine biosynthesis,0.6150925336304393,0.9361702127659575,"CPA1/DUR1,2/CAR1/GDH3/GDH2/ALT1/GLN1/ARG5,6"
57,Arginine biosynthesis,-0.5426748238748904,0.9737373737373738,"GDH2/AAT2/ARG7/ARG4/DUR1,2"
63,Arginine biosynthesis,0.5669001679963159,0.9636363636363636,"GLN1/ARG7/CAR1/GDH1/ARG1/ALT1/CPA1/URA2/CPA2/ARG5,6/GDH2/AAT2/ARG4/GDH3/DUR1,2"
69,Arginine biosynthesis,0.6766389696160712,0.8875739644970414,"ARG7/GLN1/CAR1/ALT1/GDH1/ARG1/GDH2/AAT2/ARG5,6/CPA2/CPA1/GDH3/URA2/ARG4/DUR1,2"
75,Arginine biosynthesis,0.7400535993755545,0.8273921200750469,"ARG7/GLN1/CAR1/GDH1/ALT1/CPA1/GDH3/AAT2/ARG5,6/CPA2/ARG1/GDH2/URA2/ARG4/DUR1,2"
81,Arginine biosynthesis,0.5617774234771074,0.9737903225806451,"GLN1/DUR1,2/CAR1/ALT1/GDH1/ARG1/ARG5,6/URA2/GDH2/CPA2/CPA1/AAT2/ARG4/ARG7/GDH3"
87,Arginine biosynthesis,0.4285666678566973,1,"DUR1,2/GLN1/CAR1/ALT1/GDH1/ARG4/ARG1/GDH3/GDH2/CPA1/AAT2/CPA2/ARG5,6/URA2"
93,Arginine biosynthesis,0.8084413231446128,0.7396593673965937,"ARG7/CAR1/GLN1/CPA1/DUR1,2/GDH1/ARG1/URA2/AAT2/ARG4/GDH2/CPA2/ARG5,6/GDH3/ALT1"
