TimePoint,Description,NES,pvalue,Genes
3,Autophagy - yeast,0.9799680851382873,0.5054678007290401,CCZ1/MSN4/RIM15/ATG13/ARP2/TPK3/TAP42/PHO85/ARG82/SNF1/LST8/VAM3/UME6/ARP3/RAS1/KCS1/SUI2/PPH21/SCH9/SEC18/ARC35/PPH22/ARC15/RAS2/TIP41/PEP5/ARC18/ATG7/ATG21
9,Autophagy - yeast,1.5320276525351835,0.009258351492962568,TPK3/VPS30/CCZ1/TOR2/PPH22/KCS1/ARP3/VPS45/MSN4/PHO85/LST8/PPH21/SNF1/RIM15/PEP5/SEC18/ATG13/ATG21/SUI2/LCB1/VAM6/PRB1/ATG27
15,Autophagy - yeast,1.2810083803334622,0.13183279742765272,VPS30/KCS1/MSN4/TPK3/CCZ1/SCH9/SNF1/TAP42/TOR2/PHO85/LCB1
21,Autophagy - yeast,1.1551477171140243,0.25523560209424084,VPS30/TOR2/KCS1/SNF1/SCH9/TAP42/PHO85/ARC19/KOG1/CCZ1/UME6/TPK2/VAM3/ARG82
27,Autophagy - yeast,-1.1690785192789546,0.23748544819557627,SUI2/VPS45/SCH9/RIM15/PHO85/LCB1/TAP42/TPK3/MSN4/SNF1/KCS1/TOR2
33,Autophagy - yeast,-0.9130860546305818,0.6354733405875952,ATG13/LCB1/ATG18/PRB1/VAM7/ATG7/SNF1/SUI2/LCB2/PPH21/RAS1/PPH22/TPK3/KOG1/PEP4/TPK2/RIM15/KCS1/ARP3/TOR2/MSN4/SEC18/VPS30
39,Autophagy - yeast,-1.3421511280290899,0.05827263267429761,LCB1/KOG1/ARC18/PPH22/TIP41/SUI2/ATG18/RAS1/SLT2/PEP4/ARP2/ATG7/TPK3/PRB1/CCZ1/KCS1/SCH9/RIM15/TPK2/ARC15/LCB2/TOR2/ARP3/VAM3/MSN4/SEC18/VPS30
45,Autophagy - yeast,-1.3778520884181742,0.02889576883384933,PHO85/UME6/MSN4/KCS1/VAM3/ARP3/RIM15/VPS30/SEC18/TPK3/RAS1/TOR2
51,Autophagy - yeast,-1.3635832114314115,0.020889938647638336,ATG13/SUI2/ATG21/PEP4/KOG1/TPK2/VTI1/TAP42/ARC19/SLT2/SNF1/ARC40/SCH9/PPH21/ATG7/LCB2/ARP2/RAS2/PHO85/KCS1/VAM3/RIM15/ARP3/MSN4/VPS30/SEC18/TPK3/UME6/TOR2/RAS1
57,Autophagy - yeast,-1.4792187756399737,0.005467707797714512,LCB1/PPH22/TIP41/VAM3/ARC15/SLT2/VAM7/PEP4/PHO85/TPK2/ARP3/SUI2/ARG82/PPH21/RAS1/SNF1/TAP42/SCH9/SEC18/KCS1/RIM15/TPK3/TOR2/MSN4/VPS30
