GENENAME,ENTREZID,Time,Score
ATP18,854893,T0,5.5891466
TAF3,856096,T0,4.258632
IDP2,850871,T0,4.1621513
NRM1,855743,T0,3.561251
NA,854863,T0,3.5417538
PDC5,850825,T0,3.4490597
RPS28A,854338,T0,3.264619
URN1,856275,T0,3.1119459
MLF3,855650,T0,3.0756104
SLU7,851661,T0,2.932831
RSM24,851755,T0,2.9206772
AIM9,856813,T0,2.9046123
UTH1,853916,T0,2.8942313
MET17,851010,T0,2.865028
RPL34B,854759,T0,2.8388963
MDM35,853812,T0,2.7690196
RPA14,851734,T0,2.7295449
TMC1,854217,T0,2.689947
NAR1,855481,T0,2.6099977
SEG2,853756,T0,2.5643737
NA,855876,T0,2.5611522
IKI1,856594,T0,2.5534225
SIM1,854683,T0,2.5109062
NBP2,851740,T0,2.4823906
SYF2,853030,T0,2.4804084
NPC2,851514,T0,2.4098992
PDP3,851177,T0,2.39212
CAF20,854450,T0,2.3874156
LUC7,851471,T0,2.341193
FOL2,853183,T0,2.320392
FUB1,850439,T0,2.3202858
NA,851550,T0,2.301593
ADE8,852017,T0,2.2804449
RPB9,852810,T0,2.2675214
SPT15,856891,T0,2.2226439
INM2,851881,T0,2.2082748
ECM19,851106,T0,2.2040136
YPS3,850812,T0,2.2017598
MAM33,854740,T0,2.1768677
GON7,853255,T0,2.1670833
BUG1,851459,T0,2.1465962
FRE1,850911,T0,2.144162
SKI6,853109,T0,2.1430907
DAD1,851579,T0,2.1001403
UBP7,854650,T0,2.0912707
MHR1,851890,T0,2.0806937
HBT1,851303,T0,2.0711598
SPB4,850549,T0,2.0645895
CWC27,856041,T0,2.0482988
URM1,854809,T0,2.0287945
NTC20,852486,T0,2.0192115
KIN1,851700,T0,2.004944
TMA7,850967,T0,1.9953947
IRC5,850599,T0,1.9884936
NA,854920,T0,1.9461339
FZF1,852638,T0,1.9292183
SPC19,851782,T0,1.9156108
SCW4,853196,T0,1.9031539
APL6,853177,T0,1.8948636
NA,856302,T0,1.8874096
YOR1,853198,T0,1.865794
GIM3,855569,T0,1.837132
ALD5,856804,T0,1.8245083
ARE1,850415,T0,1.8126478
YAT1,851285,T0,1.8067565
SYH1,855999,T0,1.7673595
LSM5,856889,T0,1.7586638
ARO10,851987,T0,1.7550668
MGR3,855142,T0,1.7544839
ARP2,851532,T0,1.7538049
HAP2,852614,T0,1.7449731
NOP7,852995,T0,1.7345872
TDH2,853465,T0,1.7207668
SKI7,854243,T0,1.7145916
UTP23,854165,T0,1.7121114
HPC2,852516,T0,1.7115746
TPO2,853039,T0,1.6933511
SHP1,852222,T0,1.6905339
DBF2,852984,T0,1.6725209
ERG2,855242,T0,1.6602583
CWC24,851033,T0,1.6565404
SDD2,855096,T0,1.6562301
MRPL36,852419,T0,1.6505259
ESBP6,855598,T0,1.6403506
EMW1,855403,T0,1.6272137
NA,852434,T0,1.6237035
VAM7,852660,T0,1.6118877
SRB7,851903,T0,1.6106406
RIB5,852559,T0,1.6091421
SMI1,853144,T0,1.6083435
TIM12,852388,T0,1.6002276
NA,854299,T0,1.5962356
HTZ1,854150,T0,1.5951846
TFB2,855981,T0,1.5860147
RIX1,856604,T0,1.57987
COG1,852649,T0,1.5702753
DOP1,851719,T0,1.5628994
ECM4,853951,T0,1.5609462
VMA7,852903,T0,1.5562454
ATG7,856576,T0,1.555105
PRE3,853456,T0,1.5541586
UBC6,856837,T0,1.5441879
SLX9,852972,T0,1.5410758
DBP8,856574,T0,1.5259246
MEH1,853876,T0,1.521394
NA,851472,T0,1.5213234
LSM6,851984,T0,1.5126365
SDH6,851986,T0,1.5074188
VHS2,854671,T0,1.4987246
PRP16,853961,T0,1.4984819
DPB3,852580,T0,1.4817953
STV1,855076,T0,1.4787116
ARA1,852446,T0,1.4758902
RPA12,853526,T0,1.4727628
ACB1,852925,T0,1.4723909
RPT6,852834,T0,1.4677336
FCF2,850740,T0,1.4662001
ATX1,855462,T0,1.4651184
ADA2,852059,T0,1.4635032
IOC4,855061,T0,1.4628026
RRP36,854461,T0,1.4605105
RIP1,856689,T0,1.4538121
TRM9,854994,T0,1.4537556
AGP1,850333,T0,1.4502875
NHP6B,852386,T0,1.4479338
CHM7,853398,T0,1.4461913
IES3,850741,T0,1.4389772
CDC25,851019,T0,1.4348402
GRX4,856921,T0,1.4297122
AIM3,852405,T0,1.4266995
NA,855115,T0,1.4249969
FPS1,850683,T0,1.4182595
KTR4,852498,T0,1.4009808
CTF8,856598,T0,1.3975447
NAS6,853147,T0,1.3963469
RIF1,852578,T0,1.3960369
URB2,853498,T0,1.3911276
MTC5,851706,T0,1.388395
PRS4,852211,T0,1.3883862
LSM4,856848,T0,1.3867902
SPC42,853824,T0,1.381325
RNA14,855083,T0,1.3802385
INP54,854089,T0,1.3763263
TMA20,856725,T0,1.3736091
NPA3,853535,T0,1.367044
RTT102,853192,T0,1.3643378
IRC22,856717,T0,1.3615189
HLJ1,855196,T0,1.3614947
RPF2,853956,T0,1.3541356
ATG13,856315,T0,1.3518738
