GENENAME,ENTREZID,Time,Score
TAF3,856096,T0,3.7611747
MET17,851010,T0,3.6842134
YAT1,851285,T0,3.5873935
SPC19,851782,T0,2.909167
GTR1,854918,T0,2.848053
NA,856304,T0,2.7560537
IDP2,850871,T0,2.741413
ACS1,851245,T0,2.7243323
ATP18,854893,T0,2.6915772
CWC27,856041,T0,2.5170536
SYF2,853030,T0,2.5008273
SRB7,851903,T0,2.481848
DCW1,853820,T0,2.4247644
SLG1,854170,T0,2.3879728
TDH2,853465,T0,2.3804567
HBT1,851303,T0,2.3559532
ACB1,852925,T0,2.3257356
PDR11,854802,T0,2.3160784
NTC20,852486,T0,2.2924535
URN1,856275,T0,2.249457
KXD1,852801,T0,2.244626
STF2,852891,T0,2.2032228
SWC5,852532,T0,2.120222
PXL1,853965,T0,2.0584698
HOR7,855293,T0,2.0036154
HTZ1,854150,T0,1.9718755
RPB9,852810,T0,1.9624424
MDM35,853812,T0,1.9482855
SUC2,854644,T0,1.944709
GLC8,855359,T0,1.9342495
LAG1,856386,T0,1.9222078
SLO1,856928,T0,1.9211175
MBB1,853240,T0,1.9046854
PAI3,855212,T0,1.8841951
XDJ1,850779,T0,1.8377328
TMA17,851448,T0,1.8350121
UTH1,853916,T0,1.8278558
NA,1466493,T0,1.8262643
SEM1,851967,T0,1.8086692
RPL22B,850509,T0,1.7940323
RIM1,850395,T0,1.7787027
YAT2,856745,T0,1.7751209
HST4,851772,T0,1.7684009
LSM6,851984,T0,1.7124565
SKI6,853109,T0,1.6786816
SDH6,851986,T0,1.6643633
NA,1466465,T0,1.6574911
PCT1,853116,T0,1.6481514
SNU66,854485,T0,1.6429062
AVT1,853457,T0,1.6396657
ATP14,851002,T0,1.6382521
FMP16,851642,T0,1.6163952
HAP2,852614,T0,1.6126735
SIZ1,852018,T0,1.5912524
IGO2,856534,T0,1.585783
VHS2,854671,T0,1.5702482
SUR7,854953,T0,1.5435334
SSO1,855844,T0,1.5407093
NA,854920,T0,1.5366924
AGE2,854767,T0,1.5250534
MHP1,853408,T0,1.5044394
RPC19,855609,T0,1.5016396
GON7,853255,T0,1.5011778
SDC1,852080,T0,1.4967841
ECM15,852285,T0,1.4888537
NA,5142379,T0,1.4700046
TRX2,853123,T0,1.4677628
NA,851855,T0,1.4527006
NBP2,851740,T0,1.4505807
EGO2,1466399,T0,1.4337198
UTR1,853508,T0,1.4144049
DAD1,851579,T0,1.412661
NCB2,852006,T0,1.4082774
CHO1,856748,T0,1.4079742
TIM8,853600,T0,1.4040611
SMD3,850839,T0,1.4018916
RSM24,851755,T0,1.4010714
RBL2,854439,T0,1.3941575
HSP10,854185,T0,1.389845
PCC1,1500489,T0,1.3612742
GPC1,853052,T0,1.3521032
GYP1,854236,T0,1.3520474
RPS29A,851104,T0,1.3412437
SMT3,852122,T0,1.3396847
COX4,852688,T0,1.3342265
CYC1,853507,T0,1.3320035
COX6,856448,T0,1.3299626
RPS9B,852487,T0,1.326859
APT1,854986,T0,1.3220546
NA,852381,T0,1.3184674
VAM7,852660,T0,1.315724
SIM1,854683,T0,1.2903714
SPT4,852955,T0,1.2804725
TRX1,850732,T0,1.2785225
QDR2,854685,T0,1.2779077
SET3,853900,T0,1.265501
PAC10,852969,T0,1.2630925
LUC7,851471,T0,1.250666
BUG1,851459,T0,1.2380178
EGO4,855770,T0,1.2255555
SGF11,856060,T0,1.2224852
TMC1,854217,T0,1.2187662
ATP15,855857,T0,1.2162223
TMA7,850967,T0,1.2157942
PEX30,851034,T0,1.1977893
RIP1,856689,T0,1.194737
CBP4,853085,T0,1.1893815
TIM13,853093,T0,1.1821988
BUD7,854475,T0,1.181509
GLN3,856763,T0,1.181475
RPS28A,854338,T0,1.1713825
ESBP6,855598,T0,1.163682
TPM2,854668,T0,1.1499293
NHA1,850829,T0,1.1439126
ARE2,855753,T0,1.1426443
RSC30,856453,T0,1.1385716
SDD2,855096,T0,1.135747
EFR3,855252,T0,1.1277682
MRPL33,855330,T0,1.1181657
MHR1,851890,T0,1.1122885
GRX1,850322,T0,1.1024941
YPT32,852662,T0,1.0888385
CAB3,853774,T0,1.085497
RPP2B,851990,T0,1.0786434
RPC11,851615,T0,1.0714195
FOL2,853183,T0,1.0681008
TPO3,856279,T0,1.0510849
AIM3,852405,T0,1.0449772
PFY1,854289,T0,1.0442028
ARE1,850415,T0,1.0406476
EGD1,856070,T0,1.035661
RSM19,855773,T0,1.0339216
MLC1,852772,T0,1.0301875
ENT5,851731,T0,1.0285445
BOI1,852193,T0,1.0282118
NA,856497,T0,1.0265598
RSC2,851071,T0,1.0243895
HSF1,852806,T0,1.022564
NA,855902,T0,1.0168018
PRP40,853857,T0,1.0160811
TOA2,853807,T0,1.0094998
RPS15,854117,T0,1.0080113
NMA2,852893,T0,1.007463
NUP49,852703,T0,1.0043223
RTC3,856487,T0,0.9866873
SDH8,852572,T0,0.98510814
BSP1,856301,T0,0.97661626
DAM1,853010,T0,0.9760852
SEG2,853756,T0,0.9545431
SIT4,851513,T0,0.9513327
CNB1,853644,T0,0.9492567
GCV3,851254,T0,0.94074553
PIB2,852861,T0,0.9404571
YOS9,851627,T0,0.9366058
NA,856540,T0,0.93600845
PET10,853920,T0,0.92964005
HSP12,850532,T0,0.9227135
DPH2,853643,T0,0.9224956
BAR1,854797,T0,0.90694916
BCH1,855277,T0,0.90515685
NA,851825,T0,0.9051402
SEC5,851744,T0,0.9040022
