GENENAME,ENTREZID,Time,Score
RPP1A,851478,T0,4.984741
PDC5,850825,T0,4.613181
RPS0B,850737,T0,4.544053
OAC1,853739,T0,4.100024
FZF1,852638,T0,3.6809254
TAT1,852361,T0,3.3526049
EFM3,853593,T0,3.2674274
CYB5,855612,T0,3.2658992
NA,854264,T0,3.2328317
IKI1,856594,T0,3.1526833
PDP3,851177,T0,3.1349351
SPB4,850549,T0,3.0525537
KIC1,856502,T0,3.0405834
DOT6,856822,T0,3.037531
NRM1,855743,T0,3.035657
RAD51,856831,T0,3.033818
VTS1,854541,T0,3.0312896
ADE8,852017,T0,2.9468577
NA,854863,T0,2.940853
UBP7,854650,T0,2.9393287
RNR1,856801,T0,2.9213674
NOP7,852995,T0,2.917012
TPO2,853039,T0,2.915152
ATP18,854893,T0,2.8975694
NAR1,855481,T0,2.8097818
ALD5,856804,T0,2.7677817
POP6,852918,T0,2.7609644
EMW1,855403,T0,2.7132616
SDA1,853160,T0,2.6966121
AIM9,856813,T0,2.6710763
NA,850817,T0,2.6658154
RPA14,851734,T0,2.6616678
ICS2,852454,T0,2.6281638
IPI1,856485,T0,2.5694604
CCZ1,852428,T0,2.5154843
AUR1,853866,T0,2.4584618
TFB2,855981,T0,2.4562483
SER2,853122,T0,2.4067352
SPE4,850838,T0,2.384505
MNN1,856718,T0,2.3838406
CAF20,854450,T0,2.3822694
PRT1,854543,T0,2.3624845
PMD1,856869,T0,2.361638
PTI1,853060,T0,2.3508823
RPL34B,854759,T0,2.3437638
LSM5,856889,T0,2.3364937
FRE1,850911,T0,2.334658
CPR2,856454,T0,2.277625
CST26,852330,T0,2.270151
TMA20,856725,T0,2.2594435
ADD37,855222,T0,2.2435975
BMS1,855884,T0,2.2266178
KAP114,852610,T0,2.2175488
NA,855695,T0,2.19937
SLU7,851661,T0,2.1904874
MKT1,855639,T0,2.1850445
MSL5,850807,T0,2.1819105
RLF2,856129,T0,2.1813507
RNH201,855652,T0,2.1691105
REI1,852569,T0,2.1617482
NOP4,856063,T0,2.1546035
CAF4,853908,T0,2.1535597
HLJ1,855196,T0,2.1379654
LAA1,853223,T0,2.1355493
RIX1,856604,T0,2.1271262
MAK11,853847,T0,2.11589
NRD1,855470,T0,2.1151693
MTG2,856573,T0,2.0994077
DBP8,856574,T0,2.0968606
NQM1,852934,T0,2.0965395
RPS28A,854338,T0,2.0932364
VMA6,851168,T0,2.0867496
HIT1,853516,T0,2.0651317
RRP14,853780,T0,2.0587063
GLO4,854205,T0,2.0579956
INA22,854842,T0,2.0434403
HRI1,851008,T0,2.0395339
GRX4,856921,T0,2.0390077
PNO1,854317,T0,2.0128868
PSY4,852234,T0,2.0059385
RPA12,853526,T0,1.9877348
NA,855358,T0,1.9859236
NPC2,851514,T0,1.9853537
PRY2,853882,T0,1.9831922
LSM4,856848,T0,1.9771225
NOG1,856012,T0,1.9757018
EAF5,856696,T0,1.9645782
NOP15,855613,T0,1.9562485
UTP4,851924,T0,1.9526856
POL3,851456,T0,1.9526396
YVH1,854844,T0,1.9450667
UTP11,853762,T0,1.9369819
ALB1,853320,T0,1.9237031
DBF2,852984,T0,1.9136553
INA1,851131,T0,1.912295
UBX3,851467,T0,1.9061145
UBC6,856837,T0,1.9007196
SEC24,854697,T0,1.8942672
MGM1,854386,T0,1.8908861
GCD6,851797,T0,1.8715905
ARI1,852720,T0,1.859705
HPC2,852516,T0,1.8542842
PHD1,853823,T0,1.8511
SLX9,852972,T0,1.8487219
NA,851550,T0,1.8422445
ARO10,851987,T0,1.8415866
FAS1,853653,T0,1.8387116
UNG1,854987,T0,1.8365687
RPL9B,855658,T0,1.8301543
PBP4,851507,T0,1.826345
NST1,855633,T0,1.824246
MSN4,853803,T0,1.8223691
RFC4,854059,T0,1.817475
DBP7,853894,T0,1.8111141
MGR3,855142,T0,1.8022025
DPH1,854703,T0,1.7975332
URA5,854865,T0,1.7952542
RFA3,853266,T0,1.7935115
ARX1,851678,T0,1.7924501
UBC4,852376,T0,1.7877511
MAM33,854740,T0,1.7843394
YIF1,855458,T0,1.7835672
GCD14,853317,T0,1.7766091
IRC5,850599,T0,1.7726214
PXR1,853197,T0,1.7684021
AIR2,851379,T0,1.7603939
DRE2,853945,T0,1.759971
TCD2,853841,T0,1.7543751
POL30,852385,T0,1.7482493
DBP3,852802,T0,1.7480711
NUP82,853385,T0,1.747653
STO1,855155,T0,1.7408963
INM2,851881,T0,1.7343433
RPC82,856320,T0,1.7334518
ARA1,852446,T0,1.7271688
TAD3,851027,T0,1.7254217
CTF8,856598,T0,1.7135215
ADA2,852059,T0,1.7080892
SPB1,850304,T0,1.6904147
CDC42,850930,T0,1.6826257
ADE6,852952,T0,1.6802393
NA,853561,T0,1.6797979
ECM19,851106,T0,1.6746227
SAM4,855855,T0,1.6743872
DYN2,852034,T0,1.668088
MNN10,851832,T0,1.6428422
TOH1,853268,T0,1.6401703
PHO4,850594,T0,1.6265838
RIM15,850511,T0,1.62389
NSA2,856863,T0,1.6229817
RIF1,852578,T0,1.6182323
SEG2,853756,T0,1.6098306
RMT2,852076,T0,1.608489
FUB1,850439,T0,1.6018596
RPA190,854519,T0,1.5959316
SLM4,852369,T0,1.5906293
VBA4,851697,T0,1.5890573
GDB1,856314,T0,1.5815254
NAM7,855104,T0,1.5696156000000001
RPF2,853956,T0,1.5630131
IES3,850741,T0,1.5624881
UTP15,855118,T0,1.5538814
SPP41,852075,T0,1.5468714
NOB1,854221,T0,1.5422872
KRE6,856287,T0,1.5375559
RPN13,851140,T0,1.5352067
IPI3,855539,T0,1.5342829
FPS1,850683,T0,1.5324383
RNH202,851873,T0,1.527704
GPG1,852756,T0,1.5243719
UTP23,854165,T0,1.5224365
RSM24,851755,T0,1.5196056
YCH1,853117,T0,1.5180393
AIM41,854390,T0,1.5119041
SCW4,853196,T0,1.508821
ATX1,855462,T0,1.5078162
DFR1,854411,T0,1.5057832
MAP2,852187,T0,1.4939876
NPL4,852468,T0,1.4924074
RPF1,856488,T0,1.4860945
TIF34,855177,T0,1.478229
TRM7,852353,T0,1.4690175
LHP1,851509,T0,1.4611812
COG1,852649,T0,1.4610568
SPC24,855144,T0,1.4586539
SPC42,853824,T0,1.4568393
RBA50,852139,T0,1.4549828
NA,850809,T0,1.453429
TDA9,854894,T0,1.449647
SNF12,855757,T0,1.4463391
FSH3,854454,T0,1.4449244
ATG13,856315,T0,1.4405652
BGL2,853199,T0,1.4383357
RPS5,853587,T0,1.4383065
SSF1,856463,T0,1.4353021
PRP16,853961,T0,1.4290626
DSF2,852292,T0,1.4289043
RNA15,852838,T0,1.4279333
BIK1,850328,T0,1.4234741
TMN2,851685,T0,1.4223341
IDP2,850871,T0,1.420738
NOC3,850688,T0,1.4200993
MAG2,851147,T0,1.4164993
RPL17B,853262,T0,1.4150119
RPT6,852834,T0,1.4084432
BUD14,851271,T0,1.40425
BUL2,854929,T0,1.4031794
GIM3,855569,T0,1.4027407
SMC3,853371,T0,1.400315
MAK21,851632,T0,1.3994774
SPT15,856891,T0,1.3942242
HTB1,851810,T0,1.3941927
SCO2,852312,T0,1.3935635
RPH1,856916,T0,1.3935077
ECM15,852285,T0,1.3901942
ARP2,851532,T0,1.3869776
NA,855115,T0,1.386852
OST2,854270,T0,1.3840909
RDH54,852365,T0,1.3839023
NOP12,854116,T0,1.3836181
PPX1,856608,T0,1.383303
ERP1,851264,T0,1.3702385
HIS2,850581,T0,1.3689349
FET3,855080,T0,1.3688359
RRP7,850326,T0,1.3680534
CUZ1,855567,T0,1.3657103
TRP5,852858,T0,1.3648885
VTC1,856803,T0,1.3633645
UTP9,856603,T0,1.357618
RPL17A,853674,T0,1.3565624
ARF3,854261,T0,1.3554971
MAK5,852439,T0,1.353003
YPS3,850812,T0,1.3520082
TPK3,853688,T0,1.3495224
FKS1,851055,T0,1.3467565
CSC1,850942,T0,1.3342038
SMY1,853783,T0,1.3321029
VPS24,853825,T0,1.3318202
RSM18,856776,T0,1.3285652
NRP1,851387,T0,1.3277894
MOT1,856023,T0,1.3273604
RPL13A,851477,T0,1.3219999
DPB3,852580,T0,1.3206735
EFM5,852884,T0,1.3196347
INM1,856442,T0,1.3161232
FUN30,851214,T0,1.3153876
LTV1,853714,T0,1.3145814
ESF1,851969,T0,1.3120698
TRX3,850444,T0,1.3120297
NA,855677,T0,1.3101476
LEU9,854275,T0,1.3088533
KTR4,852498,T0,1.3062817
NAB2,852755,T0,1.3037424
PHO3,852389,T0,1.3012348
NA,855141,T0,1.2992164
YOR1,853198,T0,1.2981498
RSA4,850435,T0,1.2961249
RRP5,855269,T0,1.294085
GIM4,856715,T0,1.2919588
ARB1,856758,T0,1.291888
NSR1,853064,T0,1.2912798
TRS130,855258,T0,1.2903469
RPS1B,854939,T0,1.2880034
SUA7,856201,T0,1.286715
RPB11,854157,T0,1.2864527
RPC31,855571,T0,1.2799687
STT3,852862,T0,1.2798183
URM1,854809,T0,1.2797737
ECM16,855158,T0,1.2760262
AOS1,856310,T0,1.270864
RBG2,853083,T0,1.269004
ANP1,856675,T0,1.2669699
RKM4,851844,T0,1.266331
BNA6,850608,T0,1.2656829
NIT3,851065,T0,1.2637057
IST3,854821,T0,1.2576355
RHO3,854688,T0,1.2563974
RIB2,854088,T0,1.2558461
POL1,855621,T0,1.2558267
ADE3,853118,T0,1.2543156
NA,851078,T0,1.2524486
FCF2,850740,T0,1.2510223
