Original_ID	ORF	GENENAME	COMMON	ENTREZID	Final_ID	Conversion_Method	Status
PTP1	YDL230W	PTP1	PTP1	851368	PTP1	GENENAME_found	SUCCESS
SAY1	YGR263C	SAY1	SAY1	853179	SAY1	GENENAME_found	SUCCESS
CCT5	YJR064W	CCT5	CCT5	853527	CCT5	GENENAME_found	SUCCESS
IMD3	YLR432W	IMD3	IMD3	851152	IMD3	GENENAME_found	SUCCESS
LYS1	YIR034C	LYS1	LYS1	854852	LYS1	GENENAME_found	SUCCESS
PIH1	YHR034C	PIH1	PIH1	856429	PIH1	GENENAME_found	SUCCESS
PAB1	YER165W	PAB1	PAB1	856912	PAB1	GENENAME_found	SUCCESS
COX12	YLR038C	COX12	COX12	850727	COX12	GENENAME_found	SUCCESS
SEY1	YOR165W	SEY1	SEY1	854336	SEY1	GENENAME_found	SUCCESS
THO1	YER063W	THO1	THO1	856792	THO1	GENENAME_found	SUCCESS
UBP14	YBR058C	UBP14	UBP14	852349	UBP14	GENENAME_found	SUCCESS
RDI1	YDL135C	RDI1	RDI1	851420	RDI1	GENENAME_found	SUCCESS
VPH1	YOR270C	VPH1	VPH1	854444	VPH1	GENENAME_found	SUCCESS
DED1	YOR204W	DED1	DED1	854379	DED1	GENENAME_found	SUCCESS
USE1	YGL098W	USE1	USE1	852780	USE1	GENENAME_found	SUCCESS
APD1	YBR151W	APD1	APD1	852448	APD1	GENENAME_found	SUCCESS
VMA1	YDL185W	VMA1	VMA1	851342	VMA1	GENENAME_found	SUCCESS
YVH1	YIR026C	YVH1	YVH1	854844	YVH1	GENENAME_found	SUCCESS
SAM1	YLR180W	SAM1	SAM1	850877	SAM1	GENENAME_found	SUCCESS
RPS29A	YLR388W	RPS29A	RPS29A	851104	RPS29A	GENENAME_found	SUCCESS
FOL3	YMR113W	FOL3	FOL3	855140	FOL3	GENENAME_found	SUCCESS
YNL108C	YNL108C	NA	NA	855615	YNL108C	ORF_unchanged	SUCCESS
ARX1	YDR101C	ARX1	ARX1	851678	ARX1	GENENAME_found	SUCCESS
ABP1	YCR088W	ABP1	ABP1	850450	ABP1	GENENAME_found	SUCCESS
RRP8	YDR083W	RRP8	RRP8	851656	RRP8	GENENAME_found	SUCCESS
TVP18	YMR071C	TVP18	TVP18	855093	TVP18	GENENAME_found	SUCCESS
RPS14B	YJL191W	RPS14B	RPS14B	853248	RPS14B	GENENAME_found	SUCCESS
SPE3	YPR069C	SPE3	SPE3	856182	SPE3	GENENAME_found	SUCCESS
RFA3	YJL173C	RFA3	RFA3	853266	RFA3	GENENAME_found	SUCCESS
SPC25	YER018C	SPC25	SPC25	856738	SPC25	GENENAME_found	SUCCESS
GCN20	YFR009W	GCN20	GCN20	850561	GCN20	GENENAME_found	SUCCESS
EDE1	YBL047C	EDE1	EDE1	852233	EDE1	GENENAME_found	SUCCESS
DNM1	YLL001W	DNM1	DNM1	850686	DNM1	GENENAME_found	SUCCESS
ASC1	YMR116C	ASC1	ASC1	855143	ASC1	GENENAME_found	SUCCESS
KAP120	YPL125W	KAP120	KAP120	855978	KAP120	GENENAME_found	SUCCESS
SKT5	YBL061C	SKT5	SKT5	852218	SKT5	GENENAME_found	SUCCESS
IKI1	YHR187W	IKI1	IKI1	856594	IKI1	GENENAME_found	SUCCESS
PAA1	YDR071C	PAA1	PAA1	851643	PAA1	GENENAME_found	SUCCESS
FSF1	YOR271C	FSF1	FSF1	854445	FSF1	GENENAME_found	SUCCESS
YDR341C	YDR341C	NA	NA	851942	YDR341C	ORF_unchanged	SUCCESS
RPN3	YER021W	RPN3	RPN3	856742	RPN3	GENENAME_found	SUCCESS
EFB1	YAL003W	EFB1	EFB1	851260	EFB1	GENENAME_found	SUCCESS
VMA5	YKL080W	VMA5	VMA5	853782	VMA5	GENENAME_found	SUCCESS
PAR32	YDL173W	PAR32	PAR32	851381	PAR32	GENENAME_found	SUCCESS
URA2	YJL130C	URA2	URA2	853311	URA2	GENENAME_found	SUCCESS
RTR1	YER139C	RTR1	RTR1	856882	RTR1	GENENAME_found	SUCCESS
RPT5	YOR117W	RPT5	RPT5	854284	RPT5	GENENAME_found	SUCCESS
RNA1	YMR235C	RNA1	RNA1	855275	RNA1	GENENAME_found	SUCCESS
MET14	YKL001C	MET14	MET14	853869	MET14	GENENAME_found	SUCCESS
NUP188	YML103C	NUP188	NUP188	854868	NUP188	GENENAME_found	SUCCESS
RFA2	YNL312W	RFA2	RFA2	855404	RFA2	GENENAME_found	SUCCESS
CDC27	YBL084C	CDC27	CDC27	852194	CDC27	GENENAME_found	SUCCESS
NOP58	YOR310C	NOP58	NOP58	854487	NOP58	GENENAME_found	SUCCESS
DHH1	YDL160C	DHH1	DHH1	851394	DHH1	GENENAME_found	SUCCESS
FBA1	YKL060C	FBA1	FBA1	853805	FBA1	GENENAME_found	SUCCESS
YMR124W	YMR124W	EPO1	EPO1	855154	EPO1	ORF_to_GENENAME	SUCCESS
KIN1	YDR122W	KIN1	KIN1	851700	KIN1	GENENAME_found	SUCCESS
VPS1	YKR001C	VPS1	VPS1	853870	VPS1	GENENAME_found	SUCCESS
COG1	YGL223C	COG1	COG1	852649	COG1	GENENAME_found	SUCCESS
SEC23	YPR181C	SEC23	SEC23	856311	SEC23	GENENAME_found	SUCCESS
ARO7	YPR060C	ARO7	ARO7	856173	ARO7	GENENAME_found	SUCCESS
TOM6	YOR045W	TOM6	TOM6	854210	TOM6	GENENAME_found	SUCCESS
PRE1	YER012W	PRE1	PRE1	856731	PRE1	GENENAME_found	SUCCESS
USO1	YDL058W	USO1	USO1	851501	USO1	GENENAME_found	SUCCESS
RPA190	YOR341W	RPA190	RPA190	854519	RPA190	GENENAME_found	SUCCESS
GET3	YDL100C	GET3	GET3	851458	GET3	GENENAME_found	SUCCESS
HIS1	YER055C	HIS1	HIS1	856782	HIS1	GENENAME_found	SUCCESS
RPS28A	YOR167C	RPS28A	RPS28A	854338	RPS28A	GENENAME_found	SUCCESS
YMR074C	YMR074C	SDD2	SDD2	855096	SDD2	ORF_to_GENENAME	SUCCESS
ARP2	YDL029W	ARP2	ARP2	851532	ARP2	GENENAME_found	SUCCESS
CDC10	YCR002C	CDC10	CDC10	850358	CDC10	GENENAME_found	SUCCESS
KAP123	YER110C	KAP123	KAP123	856846	KAP123	GENENAME_found	SUCCESS
ACT1	YFL039C	ACT1	ACT1	850504	ACT1	GENENAME_found	SUCCESS
GLC7	YER133W	GLC7	GLC7	856870	GLC7	GENENAME_found	SUCCESS
MTR4	YJL050W	MTR4	MTR4	853397	MTR4	GENENAME_found	SUCCESS
PAC10	YGR078C	PAC10	PAC10	852969	PAC10	GENENAME_found	SUCCESS
COY1	YKL179C	COY1	COY1	853675	COY1	GENENAME_found	SUCCESS
SSM4	YIL030C	SSM4	SSM4	854781	SSM4	GENENAME_found	SUCCESS
TAE1	YBR261C	TAE1	TAE1	852564	TAE1	GENENAME_found	SUCCESS
RNR4	YGR180C	RNR4	RNR4	853091	RNR4	GENENAME_found	SUCCESS
RPT3	YDR394W	RPT3	RPT3	852003	RPT3	GENENAME_found	SUCCESS
DAD3	YBR233W-A	DAD3	DAD3	852535	DAD3	GENENAME_found	SUCCESS
YJR085C	YJR085C	NA	NA	853547	YJR085C	ORF_unchanged	SUCCESS
MAK3	YPR051W	MAK3	MAK3	856163	MAK3	GENENAME_found	SUCCESS
GIM3	YNL153C	GIM3	GIM3	855569	GIM3	GENENAME_found	SUCCESS
RPS21A	YKR057W	RPS21A	RPS21A	853931	RPS21A	GENENAME_found	SUCCESS
CAR1	YPL111W	CAR1	CAR1	855993	CAR1	GENENAME_found	SUCCESS
LSM3	YLR438C-A	LSM3	LSM3	851159	LSM3	GENENAME_found	SUCCESS
RPB11	YOL005C	RPB11	RPB11	854157	RPB11	GENENAME_found	SUCCESS
HSP104	YLL026W	HSP104	HSP104	850633	HSP104	GENENAME_found	SUCCESS
UBA4	YHR111W	UBA4	UBA4	856511	UBA4	GENENAME_found	SUCCESS
CCT7	YJL111W	CCT7	CCT7	853333	CCT7	GENENAME_found	SUCCESS
TFS1	YLR178C	TFS1	TFS1	850875	TFS1	GENENAME_found	SUCCESS
YIP3	YNL044W	YIP3	YIP3	855683	YIP3	GENENAME_found	SUCCESS
YPT1	YFL038C	YPT1	YPT1	850505	YPT1	GENENAME_found	SUCCESS
ELO2	YCR034W	ELO2	ELO2	850400	ELO2	GENENAME_found	SUCCESS
HXT3	YDR345C	HXT3	HXT3	851946	HXT3	GENENAME_found	SUCCESS
YGL242C	YGL242C	NA	NA	852609	YGL242C	ORF_unchanged	SUCCESS
RPB4	YJL140W	RPB4	RPB4	853301	RPB4	GENENAME_found	SUCCESS
CCT3	YJL014W	CCT3	CCT3	853438	CCT3	GENENAME_found	SUCCESS
NRD1	YNL251C	NRD1	NRD1	855470	NRD1	GENENAME_found	SUCCESS
GLE2	YER107C	GLE2	GLE2	856844	GLE2	GENENAME_found	SUCCESS
YER034W	YER034W	NA	NA	856756	YER034W	ORF_unchanged	SUCCESS
TFB4	YPR056W	TFB4	TFB4	856169	TFB4	GENENAME_found	SUCCESS
POL31	YJR006W	POL31	POL31	853462	POL31	GENENAME_found	SUCCESS
TIM9	YEL020W-A	TIM9	TIM9	856693	TIM9	GENENAME_found	SUCCESS
FAS1	YKL182W	FAS1	FAS1	853653	FAS1	GENENAME_found	SUCCESS
MRC1	YCL061C	MRC1	MRC1	850297	MRC1	GENENAME_found	SUCCESS
TAT1	YBR069C	TAT1	TAT1	852361	TAT1	GENENAME_found	SUCCESS
SPC110	YDR356W	SPC110	SPC110	851957	SPC110	GENENAME_found	SUCCESS
RPC82	YPR190C	RPC82	RPC82	856320	RPC82	GENENAME_found	SUCCESS
PRR1	YKL116C	PRR1	PRR1	853744	PRR1	GENENAME_found	SUCCESS
SYF2	YGR129W	SYF2	SYF2	853030	SYF2	GENENAME_found	SUCCESS
MLC2	YPR188C	MLC2	MLC2	856318	MLC2	GENENAME_found	SUCCESS
MIT1	YEL007W	MIT1	MIT1	856711	MIT1	GENENAME_found	SUCCESS
KAP114	YGL241W	KAP114	KAP114	852610	KAP114	GENENAME_found	SUCCESS
YPK9	YOR291W	YPK9	YPK9	854466	YPK9	GENENAME_found	SUCCESS
BUD27	YFL023W	BUD27	BUD27	850521	BUD27	GENENAME_found	SUCCESS
RBA50	YDR527W	RBA50	RBA50	852139	RBA50	GENENAME_found	SUCCESS
ERG3	YLR056W	ERG3	ERG3	850745	ERG3	GENENAME_found	SUCCESS
SUP45	YBR143C	SUP45	SUP45	852440	SUP45	GENENAME_found	SUCCESS
SRP1	YNL189W	SRP1	SRP1	855532	SRP1	GENENAME_found	SUCCESS
RTT102	YGR275W	RTT102	RTT102	853192	RTT102	GENENAME_found	SUCCESS
SEC15	YGL233W	SEC15	SEC15	852618	SEC15	GENENAME_found	SUCCESS
FCF2	YLR051C	FCF2	FCF2	850740	FCF2	GENENAME_found	SUCCESS
SEC5	YDR166C	SEC5	SEC5	851744	SEC5	GENENAME_found	SUCCESS
TFA1	YKL028W	TFA1	TFA1	853840	TFA1	GENENAME_found	SUCCESS
DAD2	YKR083C	DAD2	DAD2	853958	DAD2	GENENAME_found	SUCCESS
PGD1	YGL025C	PGD1	PGD1	852860	PGD1	GENENAME_found	SUCCESS
RRT2	YBR246W	RRT2	RRT2	852548	RRT2	GENENAME_found	SUCCESS
TBF1	YPL128C	TBF1	TBF1	855975	TBF1	GENENAME_found	SUCCESS
MSN5	YDR335W	MSN5	MSN5	851935	MSN5	GENENAME_found	SUCCESS
NOP8	YOL144W	NOP8	NOP8	854021	NOP8	GENENAME_found	SUCCESS
HDA1	YNL021W	HDA1	HDA1	855710	HDA1	GENENAME_found	SUCCESS
YCH1	YGR203W	YCH1	YCH1	853117	YCH1	GENENAME_found	SUCCESS
RNQ1	YCL028W	RNQ1	RNQ1	850329	RNQ1	GENENAME_found	SUCCESS
KCS1	YDR017C	KCS1	KCS1	851580	KCS1	GENENAME_found	SUCCESS
VHS2	YIL135C	VHS2	VHS2	854671	VHS2	GENENAME_found	SUCCESS
ARG82	YDR173C	ARG82	ARG82	851753	ARG82	GENENAME_found	SUCCESS
YPR114W	YPR114W	NA	NA	856230	YPR114W	ORF_unchanged	SUCCESS
YGL082W	YGL082W	NA	NA	852798	YGL082W	ORF_unchanged	SUCCESS
VPS5	YOR069W	VPS5	VPS5	854235	VPS5	GENENAME_found	SUCCESS
SEC28	YIL076W	SEC28	SEC28	854734	SEC28	GENENAME_found	SUCCESS
GIR2	YDR152W	GIR2	GIR2	851730	GIR2	GENENAME_found	SUCCESS
SEC8	YPR055W	SEC8	SEC8	856168	SEC8	GENENAME_found	SUCCESS
SPC29	YPL124W	SPC29	SPC29	855979	SPC29	GENENAME_found	SUCCESS
AVT7	YIL088C	AVT7	AVT7	854721	AVT7	GENENAME_found	SUCCESS
NAS2	YIL007C	NAS2	NAS2	854810	NAS2	GENENAME_found	SUCCESS
SPT16	YGL207W	SPT16	SPT16	852665	SPT16	GENENAME_found	SUCCESS
APE1	YKL103C	APE1	APE1	853758	APE1	GENENAME_found	SUCCESS
RGD1	YBR260C	RGD1	RGD1	852563	RGD1	GENENAME_found	SUCCESS
NOP4	YPL043W	NOP4	NOP4	856063	NOP4	GENENAME_found	SUCCESS
TPK2	YPL203W	TPK2	TPK2	855898	TPK2	GENENAME_found	SUCCESS
COG8	YML071C	COG8	COG8	854904	COG8	GENENAME_found	SUCCESS
NUP84	YDL116W	NUP84	NUP84	851441	NUP84	GENENAME_found	SUCCESS
CMC1	YKL137W	CMC1	CMC1	853721	CMC1	GENENAME_found	SUCCESS
SWH1	YAR042W	SWH1	SWH1	851286	SWH1	GENENAME_found	SUCCESS
CBP4	YGR174C	CBP4	CBP4	853085	CBP4	GENENAME_found	SUCCESS
DSL1	YNL258C	DSL1	DSL1	855463	DSL1	GENENAME_found	SUCCESS
TY1B-LR3	NA	NA	NA	NA	TY1B-LR3	TRANSPOSON	SUCCESS
TY1B-PR1	NA	NA	NA	NA	TY1B-PR1	TRANSPOSON	SUCCESS
OSH3	YHR073W	OSH3	OSH3	856472	OSH3	GENENAME_found	SUCCESS
EMW1	YNL313C	EMW1	EMW1	855403	EMW1	GENENAME_found	SUCCESS
RRP1	YDR087C	RRP1	RRP1	851660	RRP1	GENENAME_found	SUCCESS
DPH2	YKL191W	DPH2	DPH2	853643	DPH2	GENENAME_found	SUCCESS
VPS36	YLR417W	VPS36	VPS36	851135	VPS36	GENENAME_found	SUCCESS
OPI10	YOL032W	OPI10	OPI10	854125	OPI10	GENENAME_found	SUCCESS
CUB1	YPL260W	CUB1	CUB1	855867	CUB1	GENENAME_found	SUCCESS
YDR239C	YDR239C	NA	NA	851825	YDR239C	ORF_unchanged	SUCCESS
RFC2	YJR068W	RFC2	RFC2	853531	RFC2	GENENAME_found	SUCCESS
TOM5	YPR133W-A	TOM5	TOM5	856252	TOM5	GENENAME_found	SUCCESS
SEC18	YBR080C	SEC18	SEC18	852372	SEC18	GENENAME_found	SUCCESS
NUP170	YBL079W	NUP170	NUP170	852199	NUP170	GENENAME_found	SUCCESS
ZUO1	YGR285C	ZUO1	ZUO1	853202	ZUO1	GENENAME_found	SUCCESS
ART5	YGR068C	ART5	ART5	852960	ART5	GENENAME_found	SUCCESS
ROD1	YOR018W	ROD1	ROD1	854183	ROD1	GENENAME_found	SUCCESS
CST6	YIL036W	CST6	CST6	854775	CST6	GENENAME_found	SUCCESS
FOL2	YGR267C	FOL2	FOL2	853183	FOL2	GENENAME_found	SUCCESS
HSL7	YBR133C	HSL7	HSL7	852431	HSL7	GENENAME_found	SUCCESS
OPY1	YBR129C	OPY1	OPY1	852426	OPY1	GENENAME_found	SUCCESS
YJL133C-A	YJL133C-A	NA	NA	1466465	YJL133C-A	ORF_unchanged	SUCCESS
TMA19	YKL056C	TMA19	TMA19	853809	TMA19	GENENAME_found	SUCCESS
PWP1	YLR196W	PWP1	PWP1	850893	PWP1	GENENAME_found	SUCCESS
SFH5	YJL145W	SFH5	SFH5	853296	SFH5	GENENAME_found	SUCCESS
LST4	YKL176C	LST4	LST4	853678	LST4	GENENAME_found	SUCCESS
HUL5	YGL141W	HUL5	HUL5	852736	HUL5	GENENAME_found	SUCCESS
MSN4	YKL062W	MSN4	MSN4	853803	MSN4	GENENAME_found	SUCCESS
RSC30	YHR056C	RSC30	RSC30	856453	RSC30	GENENAME_found	SUCCESS
SCY1	YGL083W	SCY1	SCY1	852797	SCY1	GENENAME_found	SUCCESS
SCH9	YHR205W	SCH9	SCH9	856612	SCH9	GENENAME_found	SUCCESS
URE2	YNL229C	URE2	URE2	855492	URE2	GENENAME_found	SUCCESS
NGR1	YBR212W	NGR1	NGR1	852513	NGR1	GENENAME_found	SUCCESS
MSO1	YNR049C	MSO1	MSO1	855785	MSO1	GENENAME_found	SUCCESS
PHO8	YDR481C	PHO8	PHO8	852092	PHO8	GENENAME_found	SUCCESS
GCD10	YNL062C	GCD10	GCD10	855663	GCD10	GENENAME_found	SUCCESS
BOS1	YLR078C	BOS1	BOS1	850767	BOS1	GENENAME_found	SUCCESS
YCR051W	YCR051W	NA	NA	850418	YCR051W	ORF_unchanged	SUCCESS
EFM3	YJR129C	EFM3	EFM3	853593	EFM3	GENENAME_found	SUCCESS
NSP1	YJL041W	NSP1	NSP1	853409	NSP1	GENENAME_found	SUCCESS
CEX1	YOR112W	CEX1	CEX1	854279	CEX1	GENENAME_found	SUCCESS
PUS4	YNL292W	PUS4	PUS4	855424	PUS4	GENENAME_found	SUCCESS
PRE3	YJL001W	PRE3	PRE3	853456	PRE3	GENENAME_found	SUCCESS
FMP52	YER004W	FMP52	FMP52	856721	FMP52	GENENAME_found	SUCCESS
SWD1	YAR003W	SWD1	SWD1	851265	SWD1	GENENAME_found	SUCCESS
UMP1	YBR173C	UMP1	UMP1	852471	UMP1	GENENAME_found	SUCCESS
YKL023W	YKL023W	NA	NA	853845	YKL023W	ORF_unchanged	SUCCESS
TDA11	YHR159W	TDA11	TDA11	856564	TDA11	GENENAME_found	SUCCESS
VPS45	YGL095C	VPS45	VPS45	852785	VPS45	GENENAME_found	SUCCESS
UGO1	YDR470C	UGO1	UGO1	852081	UGO1	GENENAME_found	SUCCESS
MVB12	YGR206W	MVB12	MVB12	853120	MVB12	GENENAME_found	SUCCESS
TLG1	YDR468C	TLG1	TLG1	852079	TLG1	GENENAME_found	SUCCESS
PAN2	YGL094C	PAN2	PAN2	852786	PAN2	GENENAME_found	SUCCESS
SYH1	YPL105C	SYH1	SYH1	855999	SYH1	GENENAME_found	SUCCESS
STV1	YMR054W	STV1	STV1	855076	STV1	GENENAME_found	SUCCESS
PXP2	YJR111C	PXP2	PXP2	853575	PXP2	GENENAME_found	SUCCESS
PHB2	YGR231C	PHB2	PHB2	853146	PHB2	GENENAME_found	SUCCESS
PRS4	YBL068W	PRS4	PRS4	852211	PRS4	GENENAME_found	SUCCESS
CBF1	YJR060W	CBF1	CBF1	853523	CBF1	GENENAME_found	SUCCESS
SEC10	YLR166C	SEC10	SEC10	850863	SEC10	GENENAME_found	SUCCESS
GYL1	YMR192W	GYL1	GYL1	855230	GYL1	GENENAME_found	SUCCESS
YPR089W	YPR089W	NA	NA	856204	YPR089W	ORF_unchanged	SUCCESS
PRK1	YIL095W	PRK1	PRK1	854713	PRK1	GENENAME_found	SUCCESS
